MSALabel,MSANo,NumberRespondents,DisproportionateBlackDeath,BlackWeaponAssoc,WhiteImplicit,WhiteExplicit,BlackImplicit,BlackExplicit,BlackMedianIncome,WhiteMedianIncome,PcentHSdegreeBlack,PcentBAdegreeBlack,PcentHSdegreeWhite,PcentBAdegreeWhite,Segregation,VioCrime,Unemployment,PopulationDensity,TotalLethalForceRate
"Sioux Falls, SD MSA",43620,199, ,0.440252741,0.394263354,1.09742351,-9.54E-05,-0.62962963,30400,58286,0.152037222,0.065067856,0.169015658,0.148714436,0.045,273.9,3.9,88.62141003, 
"South Bend-Mishawaka, IN-MI MSA",43780,356, ,0.425130849,0.415927187,0.860245515,-0.039992962,-1.553763441,26121,48439,0.146681317,0.044827483,0.192526679,0.110751405,0.199,328.7,10.3,336.7654707, 
"Springfield, IL MSA",44100,189, ,0.345001065,0.405596264,1.070474436,0.022490207,-1.407017544,26841,59889,0.132374413,0.056948918,0.174520806,0.148084391,0.277,755.54,8,177.6976423, 
"Springfield, MA MSA",44140,838, ,0.400049377,0.381425563,0.660558864,-0.001093916,-1.888349515,35859,60268,0.131000674,0.059499375,0.165384578,0.116634392,0.166,521.38,9.9,375.8400691, 
"Springfield, MO MSA",44180,232, ,0.418283949,0.404632259,0.830813953,0.027557372,-1.752941176,30642,43390,0.127262075,0.073379227,0.172277267,0.112130034,0.029,485.06,8,145.2412563, 
"State College, PA MSA",44300,314, ,0.427656621,0.424848356,0.894423159,-0.031046083,-1.558139535,30239,52923,0.059029846,0.081312636,0.172624567,0.122569806,0.105,97.82,5.3,138.7395628, 
"Syracuse, NY MSA",45060,576,-0.081,0.404012616,0.404458027,0.829956399,-0.015345701,-1.853012048,26789,56485,0.118366383,0.045350461,0.177535386,0.115113701,0.322,284.26,8,277.8238665,2
"Tallahassee, FL MSA",45220,404,0.171,0.411522712,0.452234186,1.248833034,-0.068680289,-1.86875,30006,56132,0.128137678,0.071125166,0.105622181,0.152205217,0.243,662.18,11.2,153.8775356,2
"Tampa-St. Petersburg-Clearwater, FL MSA",45300,2013,-0.12,0.418873889,0.428969778,0.971256971,-0.029180546,-1.554305008,33593,49882,0.168316088,0.069671547,0.166968734,0.118578619,0.26,437.7,10.4,1107.345384,4
"Toledo, OH MSA",45780,405,0.857,0.432488145,0.429239616,1.082652809,-0.035541149,-1.719247467,22260,49636,0.149394017,0.045386833,0.194650839,0.105506578,0.383,533.7,11.2,402.5094664,1
"Tucson, AZ MSA",46060,844,-0.037,0.416873135,0.395153103,0.723942903,-0.019520617,-1.40192926,36359,51806,0.099170406,0.085551839,0.088474585,0.113559673,0.02,442.35,10.8,106.700686,1
"Tulsa, OK MSA",46140,564,0.295,0.410553198,0.395358262,1.027540007,-0.021360719,-1.613300493,27431,53136,0.180420619,0.077298766,0.166507379,0.131253581,0.28,534.56,7,149.5362285,8
"Tuscaloosa, AL MSA",46220,205,0.169,0.364781883,0.430914287,1.289496911,-0.01996752,-1.645070423,28461,50195,0.183671083,0.055746897,0.155248302,0.107930087,0.358,406.92,9.1,83.99432641,2
"Waterloo-Cedar Falls, IA MSA",47940,341, ,0.39363119,0.388810202,1.089471306,-0.053281521,-2.059701493,24249,51447,0.10604477,0.029240286,0.200724289,0.121303458,0.272,388.375,7.3,111.6483346, 
"Wausau, WI MSA",48140,330, ,0.396340702,0.409376502,1.193522907,0.048592463,-0.333333333,29406,54390, , ,0.243256054,0.104915594, ,117.12,6.8,86.77311008, 
"Wichita, KS MSA",48620,447,-0.075,0.402824499,0.406922683,1.0227158,-0.059330645,-1.647940075,29117,54636,0.156437572,0.057798373,0.140311336,0.130358976,0.231,564,7.7,150.1688145,1
"Wilmington, NC MSA",48900,251,0.849,0.445481445,0.444225288,0.937789543,-0.059620311,-1.364640884,28993,53758,0.156006127,0.062151435,0.125175777,0.171000913,0.187,367.5,10.2,189.8624623,1
"Winston-Salem, NC MSA",49180,323,-0.176,0.401339648,0.41107579,0.977297693,-0.031243829,-1.912103746,30842,50219,0.167804306,0.079386944,0.166812628,0.122521179,0.29,422.18,10.2,328.116031,2
"York-Hanover, PA MSA",49620,396, ,0.387496205,0.400219178,1.023655914,-0.043489596,-1.3125,39545,60715,0.203246167,0.031142235,0.257223056,0.103399074,0.125,238.44,8.3,481.0671329, 
"Youngstown-Warren-Boardman, OH-PA MSA",49660,291, ,0.464582444,0.438183195,1.149802891,-0.030676535,-1.782051282,22044,45499,0.19787894,0.038207414,0.279612915,0.09808257,0.346,276.8333333,9.4,332.3200173, 
