MSALabel,MSANo,NumberOfRespondents,DisproportionateBlackDeath,WhiteImplicit,WhiteExplicit,BlackMedianIncome,WhiteMedianIncome,PcentHSdegreeBlack,PcentHSdegreeWhite,PcentBAdegreeBlack,PcentBAdegreeWhite,Segregation,BlackImplicit,BlackExplicit,VioCrime,Unemployment,PopulationDensity,TotalLethalForceRate
"Waco, TX MSA",47380,838,.349,.41508593420584,1.03975903614458,24937,50088,.155722173419265,.115865738411188,.0418776820087841,.0906305091031377,.175,-.072542683223789,-1.46103896103896,429.28,7,226.5024603992,2
"Warner Robins, GA MSA",47580,342, ,.472404802953543,1.19822485207101,36525,61041,.166380476084549,.162753220310284,.0569081166935616,.0985228221513416,.077,-.0896896899833425,-1.65217391304348,362.2,10.7,372.529584488674, 
"Waterloo-Cedar Falls, IA MSA",47940,2244, ,.388810201782586,1.08947130591956,24249,51447,.106044770230613,.200724289152528,.0292402859091764,.121303457807218,.272,-.0532815211628631,-2.05970149253731,388.375,7.3,111.648334617623, 
"Wheeling, WV-OH MSA",48540,490, ,.403500205646952,.795131845841785,26757,41639,.175777736793331,.277956949200212,.0134337907652935,.0864432089115655,.103,.0242703357402128,-2,286.25,7.7,156.829744291032, 
"Wichita, KS MSA",48620,1890,-.075,.406922683424985,1.02271580010096,29117,54636,.156437571880693,.140311335551049,.0577983730828317,.130358975627061,.231,-.0593306450178042,-1.64794007490637,564,7.7,150.168814459907,1
"Wichita Falls, TX MSA",48660,1044,-.091,.451556952963872,1.18461538461538,30686,49870,.139648793857378,.160342019585543,.0382119937238988,.0886774398722611,.153,-.00526970134345953,-1.43542435424354,357.3,6.4,57.7590452273316,1
"Williamsport, PA MSA",48700,391, ,.394556525229886,.779187817258883,31630,46233,.172626589486814,.258466601686538,.0247856174996234,.0854536243310624,.117,-.204779025168032,-1.19230769230769,183.14,8.5,94.5071850833195, 
"Wilmington, NC MSA",48900,1500,.849,.444225287869172,.937789543348777,28993,53758,.15600612668566,.125175776734173,.0621514351848261,.171000913470468,.187,-.0596203106240392,-1.3646408839779,367.5,10.2,189.862462299823,1
"Winchester, VA-WV MSA",49020,394,-.049,.40226294047438,.8175,51275,51461,.225966055534976,.188079213270722,.0603095610289902,.105680823877771,.039,-.111786922595264,-1.57142857142857,181.18,7.1,120.860511051037,1
"Winston-Salem, NC MSA",49180,2641,-.176,.411075790402582,.977297693152691,30842,50219,.167804306321342,.166812627715918,.0793869439350902,.122521178585745,.29,-.0312438293517933,-1.91210374639769,422.18,10.2,328.116031034217,2
"Yakima, WA MSA",49420,337, ,.388916589329896,.544668587896254,31630,51940, ,.10773132258905, ,.0627668193041591,.007,.0743522739108403,-1.42857142857143,310.5,10,56.625982081211, 
"York-Hanover, PA MSA",49620,1798, ,.4002191782238,1.02365591397849,39545,60715,.203246167140413,.257223055927294,.031142234641708,.103399073653671,.125,-.0434895956988862,-1.3125,238.44,8.3,481.067132897929, 
"Youngstown-Warren-Boardman, OH-PA MSA",49660,1523, ,.438183194608914,1.14980289093298,22044,45499,.197878939842628,.279612914771567,.0382074138642794,.0980825696210489,.346,-.0306765352965941,-1.78205128205128,276.833333333333,9.4,332.320017290213, 
"Yuma, AZ MSA",49740,228, ,.417618842598552,.974025974025974,52244,49374,.13814826756616,.0863997349596498,.02926659887398,.042772466602345,.012,-.0225676723106783,-1,368.3,13.4,35.5007738279935, 
